
result,mark,datatype,encoding,compressor,csv_file_name,start_time_in_ms,end_time_in_ms,import_elapsed_time_in_ms,query_elapsed_time_in_ms,data_size_in_byte,compression_rate,tsfile_count
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZMA2,float-sg0-line5-10000w0_0.csv,1689221039346,1689222353297,1077650.35,61962.93,40920525,154.03,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZMA2,float-sg0-line1-1000w0_0.csv,1689222366493,1689222568855,74305.57,62324.83,843220,292.69,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZMA2,float-sg0-line5-1000w0_0.csv,1689222581984,1689222824332,112720.89,62588.93,4091864,154.04,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,RLE,LZMA2,float-sg0-line1-10000w0_0.csv,1689222837486,1689223749814,681105.38,61729.26,8433889,292.63,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,UNCOMPRESSED,float-sg0-line3-1000w0_0.csv,1689223762999,1689223986897,95033.27,62560.95,77790152,5.64,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,UNCOMPRESSED,float-sg0-line3-10000w0_0.csv,1689224000055,1689225127194,893043.56,61866.31,777903267,5.64,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,UNCOMPRESSED,float-sg0-line5-10000w0_0.csv,1689225140495,1689226482291,1095603.69,61849.21,1300406431,4.85,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,UNCOMPRESSED,float-sg0-line1-1000w0_0.csv,1689226495700,1689226699435,75317.8,62340.37,25538891,9.66,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,UNCOMPRESSED,float-sg0-line5-1000w0_0.csv,1689226712580,1689226953956,110539.14,62380.12,130040493,4.85,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,UNCOMPRESSED,float-sg0-line1-10000w0_0.csv,1689226967110,1689227903875,701165.96,61766.4,255390847,9.66,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,SNAPPY,float-sg0-line3-1000w0_0.csv,1689227917109,1689228142697,96382.63,62450.06,11998165,36.58,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,SNAPPY,float-sg0-line3-10000w0_0.csv,1689228155849,1689229217976,878398.06,679.29,120007939,36.57,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,SNAPPY,float-sg0-line5-10000w0_0.csv,1689229231152,1689230542055,1066710.79,62172.77,203510214,30.97,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,SNAPPY,float-sg0-line1-1000w0_0.csv,1689230555326,1689230758677,74999.95,62259.05,3752667,65.77,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,SNAPPY,float-sg0-line5-1000w0_0.csv,1689230771827,1689231014006,112334.14,62673.17,20350158,30.97,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,SNAPPY,float-sg0-line1-10000w0_0.csv,1689231027151,1689231951834,689783.06,61691.06,37535968,65.75,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZ4,float-sg0-line3-1000w0_0.csv,1689231965047,1689232190206,95512.58,62353.93,10018412,43.81,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZ4,float-sg0-line3-10000w0_0.csv,1689232203357,1689233315288,871061.15,61849.08,100195285,43.8,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZ4,float-sg0-line5-10000w0_0.csv,1689233328486,1689234642824,1075425.87,61696.98,170876076,36.89,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZ4,float-sg0-line1-1000w0_0.csv,1689234655999,1689234859099,73925.14,62247.59,3081138,80.1,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZ4,float-sg0-line5-1000w0_0.csv,1689234872222,1689235113500,113350.1,62709.91,17086614,36.89,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZ4,float-sg0-line1-10000w0_0.csv,1689235126648,1689236038898,683010.29,61628.59,30812031,80.1,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,GZIP,float-sg0-line3-1000w0_0.csv,1689236052093,1689236276442,96006.63,62366.71,7694983,57.04,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,GZIP,float-sg0-line3-10000w0_0.csv,1689236289588,1689237410454,887288.2,61663.5,76947148,57.04,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,GZIP,float-sg0-line5-10000w0_0.csv,1689237423652,1689238730261,1068537.65,61806.86,131878208,47.79,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,GZIP,float-sg0-line1-1000w0_0.csv,1689238743484,1689238946410,74544.76,62236.52,2343788,105.3,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,GZIP,float-sg0-line5-1000w0_0.csv,1689238959561,1689239210861,120527.42,62474.11,13188432,47.79,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,GZIP,float-sg0-line1-10000w0_0.csv,1689239224001,1689240148510,688959.18,61519.95,23437752,105.3,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,ZSTD,float-sg0-line3-1000w0_0.csv,1689240161694,1689240389453,98642.7,62490.65,6564376,66.86,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,ZSTD,float-sg0-line3-10000w0_0.csv,1689240402559,1689241569120,919352.62,61872.89,65636757,66.87,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,ZSTD,float-sg0-line5-10000w0_0.csv,1689241582337,1689242917973,1087779.53,61698.12,113059377,55.75,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,ZSTD,float-sg0-line1-1000w0_0.csv,1689242931182,1689243146261,85850.85,62755.93,1969748,125.3,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,ZSTD,float-sg0-line5-1000w0_0.csv,1689243159405,1689243428045,138409.53,62954.32,11307223,55.74,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,ZSTD,float-sg0-line1-10000w0_0.csv,1689243441200,1689244446773,770167.56,61766.9,19696225,125.3,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZMA2,float-sg0-line3-1000w0_0.csv,1689244460000,1689244696788,106662.36,62882.32,6520889,67.31,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZMA2,float-sg0-line3-10000w0_0.csv,1689244709935,1689245981124,1032423.91,61843.61,65206204,67.31,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZMA2,float-sg0-line5-10000w0_0.csv,1689245994340,1689247511525,1277953.65,62222.47,112452041,56.05,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZMA2,float-sg0-line1-1000w0_0.csv,1689247524690,1689247739585,86302.83,62762.59,1953051,126.37,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZMA2,float-sg0-line5-1000w0_0.csv,1689247752717,1689248022862,139036.63,62758.39,11245623,56.05,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,TS_2DIFF,LZMA2,float-sg0-line1-10000w0_0.csv,1689248035998,1689249005828,733601.32,61821.76,19530423,126.37,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,UNCOMPRESSED,float-sg0-line3-1000w0_0.csv,1689249018962,1689249261334,112923.27,62689.56,114600579,3.83,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,UNCOMPRESSED,float-sg0-line3-10000w0_0.csv,1689249274504,1689250551565,1039433.25,61941.17,1146008322,3.83,1157
